ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
15302,N,F,2271.0,79500.0,0.0,2271.0,1894.0,5,7,381900.0,2426.1499999999996,14564,0.0
15303,U,F,2271.0,21900.0,0.0,2271.0,,2,0,43800.0,0.0,0,0.0
15304,N,F,2236.0,69000.0,0.0,2236.0,,2,0,414000.0,0.0,0,0.0
15305,N,F,2317.0,57300.0,0.0,2317.0,,4,0,687600.0,0.0,0,0.0
15306,N,F,2320.0,51500.0,0.0,2320.0,,1,0,412000.0,0.0,0,0.0
15307,N,F,2320.0,69400.0,0.0,2320.0,,3,0,416400.0,0.0,0,0.0
15308,N,F,2237.0,56300.0,0.0,2237.0,,1,0,168900.0,0.0,0,0.0
15309,N,F,2292.0,34000.0,0.0,2292.0,2155.0,1,3,34000.0,289.28,10088,0.0
15310,N,F,2295.0,66000.0,0.0,2295.0,1127.0,4,9,528000.0,3904.76,79812,0.0
15311,N,F,2275.0,255000.0,0.0,2275.0,1838.0,3,3,765000.0,0.0,28346,0.0
15312,N,F,2323.0,58300.0,0.0,2323.0,,2,0,932800.0,0.0,0,0.0
15313,N,F,2290.0,186550.0,0.0,2290.0,1713.0,4,6,746200.0,918.99,13834,0.0
15314,U,F,2240.0,20000.0,0.0,2240.0,,1,0,20000.0,0.0,0,0.0
15315,N,F,2323.0,69000.0,0.0,2323.0,,1,0,552000.0,0.0,0,0.0
15316,N,F,2298.0,48000.0,0.0,2298.0,314.0,4,5,384000.0,3412.1200000000003,54864,0.0
15317,N,F,2278.0,37800.0,0.0,2278.0,1661.0,2,7,75600.0,1182.35,30308,0.0
15318,U,F,2278.0,41000.0,0.0,2278.0,1576.0,2,6,82000.0,2319.08,69258,0.0
15319,N,F,2324.0,38420.0,0.0,2324.0,916.0,3,12,115260.0,2984.88,47554,0.0
15320,N,F,2324.0,78500.0,0.0,2324.0,,3,0,471000.0,0.0,0,0.0
15321,N,F,2324.0,36900.0,0.0,2324.0,441.0,3,4,110700.0,1062.2,16298,0.0
15322,N,F,2298.0,52190.0,0.0,2298.0,,1,0,52190.0,0.0,0,0.0
15323,N,F,2278.0,35920.0,0.0,2278.0,,2,0,143680.0,0.0,0,0.0
15324,N,F,2278.0,37900.0,0.0,2278.0,190.0,4,22,151600.0,6217.51,197365,0.0
15325,N,F,2243.0,79500.0,0.0,2243.0,2214.0,4,12,290600.0,11162.81,46159,0.0
15326,N,F,2306.0,70300.0,0.0,2306.0,829.0,3,11,210900.0,6073.18,51398,0.0
15327,N,F,2278.0,70300.0,0.0,2278.0,1813.0,3,4,421800.0,0.0,30979,0.0
15328,N,F,2243.0,65190.0,0.0,2243.0,,3,0,195570.0,0.0,0,0.0
15329,N,F,2323.0,71000.0,0.0,2323.0,1743.0,3,4,639000.0,5390.400000000001,52232,0.0
15330,N,F,2298.0,51500.0,0.0,2298.0,,1,0,206000.0,0.0,0,0.0
15331,N,F,2326.0,54000.0,0.0,2326.0,,1,0,432000.0,0.0,0,0.0
15332,N,F,2278.0,128400.0,0.0,2278.0,1974.0,5,8,1872800.0,24076.04,5788,0.0
15333,N,F,2293.0,63500.0,0.0,2293.0,,1,0,127000.0,0.0,0,0.0
15334,U,F,2298.0,44000.0,0.0,2298.0,,2,0,88000.0,0.0,0,0.0
15335,N,F,2278.0,35400.0,0.0,2278.0,1904.0,3,3,106200.0,61.25,5102,0.0
15336,U,F,2298.0,24050.0,0.0,2298.0,,2,0,48100.0,0.0,0,0.0
15337,N,F,2293.0,52680.0,0.0,2293.0,289.0,3,4,158040.0,1655.7,61767,0.0
15338,N,F,2243.0,69000.0,0.0,2243.0,,2,0,276000.0,0.0,0,0.0
15339,N,F,2298.0,139900.0,0.0,2298.0,2082.0,4,4,559600.0,237.0,6738,0.0
15340,U,F,2278.0,44000.0,0.0,2278.0,680.0,3,4,132000.0,4147.0,39916,0.0
15341,N,F,2298.0,57000.0,0.0,2298.0,,1,0,228000.0,0.0,0,0.0
15342,N,F,2298.0,68500.0,0.0,2298.0,,1,0,274000.0,0.0,0,0.0
15343,U,F,2278.0,41000.0,0.0,2278.0,,4,0,164000.0,0.0,0,0.0
15344,N,F,2298.0,53000.0,0.0,2298.0,188.0,2,5,212000.0,4852.42,18629,0.0
15345,N,F,2298.0,52800.0,0.0,2298.0,248.0,1,6,52800.0,2324.49,33478,0.0
15346,N,F,2324.0,41000.0,0.0,2324.0,991.0,4,12,164000.0,2507.5699999999997,65305,0.0
15347,N,F,2243.0,70000.0,0.0,2243.0,,4,0,560000.0,0.0,0,0.0
15348,N,F,2243.0,67856.0,0.0,2243.0,6205.0,2,1,407136.0,0.0,20259,0.0
15349,U,F,2278.0,28000.0,0.0,2278.0,,2,0,56000.0,0.0,0,0.0
15350,U,F,2298.0,26800.0,0.0,2298.0,,1,0,26800.0,0.0,0,0.0
15351,U,F,2243.0,23990.0,0.0,2243.0,,2,0,47980.0,0.0,0,0.0
15352,N,F,2255.0,44698.73,0.0,2255.0,578.0,1,13,89397.46,10590.419999999998,28998,0.0
15353,N,F,2298.0,52000.0,0.0,2298.0,,1,0,52000.0,0.0,0,0.0
15354,N,F,2278.0,57500.0,0.0,2278.0,203.0,2,11,115000.0,6505.31,58000,0.0
15355,N,F,2298.0,69500.0,0.0,2298.0,,3,0,208500.0,0.0,0,0.0
15356,U,F,2278.0,42250.0,0.0,2278.0,,2,0,84500.0,0.0,0,0.0
15357,N,F,2243.0,77500.0,0.0,2243.0,,2,0,310000.0,0.0,0,0.0
15358,N,F,2243.0,70736.0,0.0,2243.0,,3,0,212208.0,0.0,0,0.0
15359,N,F,2298.0,65000.0,0.0,2298.0,925.0,3,7,195000.0,6663.17,41074,0.0
15360,N,F,2243.0,40000.0,0.0,2243.0,1605.0,2,8,80000.0,1224.8,30107,0.0
15361,U,F,2293.0,29600.0,0.0,2293.0,,1,0,29600.0,0.0,0,0.0
15362,N,F,2243.0,69250.0,0.0,2243.0,,1,0,207750.0,0.0,0,0.0
15363,N,F,2299.0,38900.0,0.0,2299.0,528.0,2,12,77800.0,4284.36,39137,0.0
15364,N,F,2279.0,109000.0,0.0,2279.0,1079.0,2,4,218000.0,1480.01,69237,0.0
15365,N,F,2299.0,64000.0,0.0,2299.0,,2,0,512000.0,0.0,0,0.0
15366,N,F,2244.0,47500.0,0.0,2244.0,449.0,5,7,237500.0,1854.98,69197,0.0
15367,N,F,2279.0,77500.0,0.0,2279.0,,1,0,77500.0,0.0,0,0.0
15368,N,F,2279.0,60700.0,0.0,2279.0,1808.0,2,3,121400.0,979.1200000000001,20289,0.0
15369,N,F,2244.0,258977.34,0.0,2244.0,32.0,3,31,1463909.3599999999,228249.82000000007,17174,0.0
